time unit: s, fft_wrapper:inst|sink_sop, fft_wrapper:inst|sink_eop, CLOCK_50, fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11..0], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[10], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[9], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[8], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[7], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[6], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[5], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[4], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[3], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[2], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[1], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[0], fft_wrapper:inst|fft:fft_inst|source_sop, fft_wrapper:inst|fft:fft_inst|source_eop, fft_wrapper:inst|real_power[17..0], fft_wrapper:inst|real_power[17], fft_wrapper:inst|real_power[16], fft_wrapper:inst|real_power[15], fft_wrapper:inst|real_power[14], fft_wrapper:inst|real_power[13], fft_wrapper:inst|real_power[12], fft_wrapper:inst|real_power[11], fft_wrapper:inst|real_power[10], fft_wrapper:inst|real_power[9], fft_wrapper:inst|real_power[8], fft_wrapper:inst|real_power[7], fft_wrapper:inst|real_power[6], fft_wrapper:inst|real_power[5], fft_wrapper:inst|real_power[4], fft_wrapper:inst|real_power[3], fft_wrapper:inst|real_power[2], fft_wrapper:inst|real_power[1], fft_wrapper:inst|real_power[0], fft_wrapper:inst|imag_power[17..0], fft_wrapper:inst|imag_power[17], fft_wrapper:inst|imag_power[16], fft_wrapper:inst|imag_power[15], fft_wrapper:inst|imag_power[14], fft_wrapper:inst|imag_power[13], fft_wrapper:inst|imag_power[12], fft_wrapper:inst|imag_power[11], fft_wrapper:inst|imag_power[10], fft_wrapper:inst|imag_power[9], fft_wrapper:inst|imag_power[8], fft_wrapper:inst|imag_power[7], fft_wrapper:inst|imag_power[6], fft_wrapper:inst|imag_power[5], fft_wrapper:inst|imag_power[4], fft_wrapper:inst|imag_power[3], fft_wrapper:inst|imag_power[2], fft_wrapper:inst|imag_power[1], fft_wrapper:inst|imag_power[0], 
0, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1003,0,0,1,1000100110,0,0,1,0,0,0,1,0,0,1,1,0,0,0,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-43,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1, 
1004,0,0,1,1000011011,0,0,1,0,0,0,0,1,1,0,1,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,184,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0, 
1005,0,0,1,1000010000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-98,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,98,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0, 
1006,0,0,1,1000000101,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-122,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,-113,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1, 
1007,0,0,1,111111011,0,0,0,1,1,1,1,1,1,0,1,1,0,0,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,-97,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1, 
1008,0,0,1,111110000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0, 
1009,0,0,1,111100101,0,0,0,1,1,1,1,0,0,1,0,1,0,0,-68,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,152,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0, 
1010,0,0,1,111011011,0,0,0,1,1,1,0,1,1,0,1,1,0,0,-202,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,-17,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1, 
1011,0,0,1,111010001,0,0,0,1,1,1,0,1,0,0,0,1,0,0,68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-210,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0, 
1012,0,0,1,111000110,0,0,0,1,1,1,0,0,0,1,1,0,0,0,205,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,-32,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0, 
1013,0,0,1,110111100,0,0,0,1,1,0,1,1,1,1,0,0,0,0,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,210,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0, 
1014,0,0,1,110110010,0,0,0,1,1,0,1,1,0,0,1,0,0,0,-157,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1, 
1015,0,0,1,110101000,0,0,0,1,1,0,1,0,1,0,0,0,0,0,-53,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,-208,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0, 
1016,0,0,1,110011110,0,0,0,1,1,0,0,1,1,1,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,-46,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0, 
1017,0,0,1,110010100,0,0,0,1,1,0,0,1,0,1,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0, 
1018,0,0,1,110001010,0,0,0,1,1,0,0,0,1,0,1,0,0,0,-110,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,88,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0, 
1019,0,0,1,110000000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-178,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,-41,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1, 
1020,0,0,1,101110111,0,0,0,1,0,1,1,1,0,1,1,1,0,0,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,-136,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0, 
1021,0,0,1,101101101,0,0,0,1,0,1,1,0,1,1,0,1,0,0,167,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1, 
1022,0,0,1,101100100,0,0,0,1,0,1,1,0,0,1,0,0,0,0,-49,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,226,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0, 
1023,0,0,1,101011010,0,0,0,1,0,1,0,1,1,0,1,0,0,0,-169,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, 
1024,0,0,1,101010001,0,0,0,1,0,1,0,1,0,0,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,-233,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1, 
1025,0,0,1,101001000,0,0,0,1,0,1,0,0,1,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, 
1026,0,0,1,100111111,0,0,0,1,0,0,1,1,1,1,1,1,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,190,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0, 
1027,0,0,1,100110110,0,0,0,1,0,0,1,1,0,1,1,0,0,0,-144,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1028,0,0,1,100101101,0,0,0,1,0,0,1,0,1,1,0,1,0,0,-95,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,-144,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0, 
1029,0,0,1,100100100,0,0,0,1,0,0,1,0,0,1,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-83,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1, 
1030,0,0,1,100011100,0,0,0,1,0,0,0,1,1,1,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0, 
1031,0,0,1,100010011,0,0,0,1,0,0,0,1,0,0,1,1,0,0,-113,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,141,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1, 
1032,0,0,1,100001011,0,0,0,1,0,0,0,0,1,0,1,1,0,0,-169,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,-22,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0, 
1033,0,0,1,100000011,0,0,0,1,0,0,0,0,0,0,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-209,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1, 
1034,0,0,1,11111010,0,0,0,0,1,1,1,1,1,0,1,0,0,0,161,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1, 
1035,0,0,1,11110010,0,0,0,0,1,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,253,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1, 
1036,0,0,1,11101010,0,0,0,0,1,1,1,0,1,0,1,0,0,0,-186,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,-7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1, 
1037,0,0,1,11100010,0,0,0,0,1,1,1,0,0,0,1,0,0,0,-23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,-182,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0, 
1038,0,0,1,11011011,0,0,0,0,1,1,0,1,1,0,1,1,0,0,199,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1, 
1039,0,0,1,11010011,0,0,0,0,1,1,0,1,0,0,1,1,0,0,89,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0, 
1040,0,0,1,11001100,0,0,0,0,1,1,0,0,1,1,0,0,0,0,-146,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1, 
1041,0,0,1,11000100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,-82,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,-84,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0, 
1042,0,0,1,10111101,0,0,0,0,1,0,1,1,1,1,0,1,0,0,113,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,-161,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1, 
1043,0,0,1,11010110,0,0,0,0,1,1,0,1,0,1,1,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1, 
1044,0,0,1,10101111,0,0,0,0,1,0,1,0,1,1,1,1,0,0,-39,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,189,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1, 
1045,0,0,1,10101000,0,0,0,0,1,0,1,0,1,0,0,0,0,0,-178,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,-50,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0, 
1046,0,0,1,10100001,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-32,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,-226,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0, 
1047,0,0,1,10011011,0,0,0,0,1,0,0,1,1,0,1,1,0,0,192,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1, 
1048,0,0,1,10010100,0,0,0,0,1,0,0,1,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,194,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0, 
1049,0,0,1,10001110,0,0,0,0,1,0,0,0,1,1,1,0,0,0,-219,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, 
1050,0,0,1,10001000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-48,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,-128,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, 
1051,0,0,1,10000001,0,0,0,0,1,0,0,0,0,0,0,1,0,0,183,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,-53,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1, 
1052,0,0,1,1111011,0,0,0,0,0,1,1,1,1,0,1,1,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,117,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1, 
1053,0,0,1,1110110,0,0,0,0,0,1,1,1,0,1,1,0,0,0,-114,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,154,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0, 
1054,0,0,1,1110000,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-84,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,-78,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0, 
1055,0,0,1,1101010,0,0,0,0,0,1,1,0,1,0,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,-185,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1, 
1056,0,0,1,1100101,0,0,0,0,0,1,1,0,0,1,0,1,0,0,180,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1, 
1057,0,0,1,1100000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,180,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0, 
1058,0,0,1,1011010,0,0,0,0,0,1,0,1,1,0,1,0,0,0,-222,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,-47,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1, 
1059,0,0,1,1010101,0,0,0,0,0,1,0,1,0,1,0,1,0,0,-28,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-193,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1, 
1060,0,0,1,1010000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,-36,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0, 
1061,0,0,1,1001100,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1, 
1062,0,0,1,1000111,0,0,0,0,0,1,0,0,0,1,1,1,0,0,-204,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1, 
1063,0,0,1,1000011,0,0,0,0,0,1,0,0,0,0,1,1,0,0,-49,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,-140,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0, 
1064,0,0,1,111110,0,0,0,0,0,0,1,1,1,1,1,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,-106,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0, 
1065,0,0,1,111010,0,0,0,0,0,0,1,1,1,0,1,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,139,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1, 
1066,0,0,1,110110,0,0,0,0,0,0,1,1,0,1,1,0,0,0,-34,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,157,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1, 
1067,0,0,1,110010,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-160,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,-60,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0, 
1068,0,0,1,101110,0,0,0,0,0,0,1,0,1,1,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-149,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1, 
1069,0,0,1,101011,0,0,0,0,0,0,1,0,1,0,1,1,0,0,220,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1, 
1070,0,0,1,100111,0,0,0,0,0,0,1,0,0,1,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,170,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0, 
1071,0,0,1,100100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-219,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0, 
1072,0,0,1,100001,0,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-202,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0, 
1073,0,0,1,11101,0,0,0,0,0,0,0,1,1,1,0,1,0,0,174,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,-83,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1, 
1074,0,0,1,11011,0,0,0,0,0,0,0,1,1,0,1,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,165,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1, 
1075,0,0,1,11000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-124,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1, 
1076,0,0,1,10101,0,0,0,0,0,0,0,1,0,1,0,1,0,0,-106,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,-155,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1, 
1077,0,0,1,10011,0,0,0,0,0,0,0,1,0,0,1,1,0,0,-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-96,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0, 
1078,0,0,1,10000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,85,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1, 
1079,0,0,1,1110,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-41,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0, 
1080,0,0,1,1100,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-218,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1, 
1081,0,0,1,1010,0,0,0,0,0,0,0,0,1,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,-150,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0, 
1082,0,0,1,1001,0,0,0,0,0,0,0,0,1,0,0,1,0,0,223,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,-32,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0, 
1083,0,0,1,111,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,223,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1, 
1084,0,0,1,110,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-165,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0, 
1085,0,0,1,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-221,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1, 
1086,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,-69,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1, 
1087,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,148,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0, 
1088,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-86,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1, 
1089,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-189,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,-89,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1, 
1090,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-129,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1, 
1091,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1, 
1092,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,176,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0, 
1093,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-205,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1, 
1094,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,-218,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0, 
1095,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,-31,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1, 
1096,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,242,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0, 
1097,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-152,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0, 
1098,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-86,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,-161,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1, 
1099,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,150,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,-49,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1, 
1100,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,148,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,82,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0, 
1101,0,0,1,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-111,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,113,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1, 
1102,0,0,1,110,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-139,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,-24,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0, 
1103,0,0,1,111,0,0,0,0,0,0,0,0,0,1,1,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,-200,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0, 
1104,0,0,1,1001,0,0,0,0,0,0,0,0,1,0,0,1,0,0,157,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,-38,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0, 
1105,0,0,1,1010,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,218,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0, 
1106,0,0,1,1100,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-189,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0, 
1107,0,0,1,1110,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-83,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,-225,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1, 
