time unit: s, fft_wrapper:inst|sink_sop, fft_wrapper:inst|sink_eop, CLOCK_50, fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11..0], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[10], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[9], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[8], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[7], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[6], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[5], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[4], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[3], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[2], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[1], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[0], fft_wrapper:inst|fft:fft_inst|source_sop, fft_wrapper:inst|fft:fft_inst|source_eop, fft_wrapper:inst|real_power[17..0], fft_wrapper:inst|real_power[17], fft_wrapper:inst|real_power[16], fft_wrapper:inst|real_power[15], fft_wrapper:inst|real_power[14], fft_wrapper:inst|real_power[13], fft_wrapper:inst|real_power[12], fft_wrapper:inst|real_power[11], fft_wrapper:inst|real_power[10], fft_wrapper:inst|real_power[9], fft_wrapper:inst|real_power[8], fft_wrapper:inst|real_power[7], fft_wrapper:inst|real_power[6], fft_wrapper:inst|real_power[5], fft_wrapper:inst|real_power[4], fft_wrapper:inst|real_power[3], fft_wrapper:inst|real_power[2], fft_wrapper:inst|real_power[1], fft_wrapper:inst|real_power[0], fft_wrapper:inst|imag_power[17..0], fft_wrapper:inst|imag_power[17], fft_wrapper:inst|imag_power[16], fft_wrapper:inst|imag_power[15], fft_wrapper:inst|imag_power[14], fft_wrapper:inst|imag_power[13], fft_wrapper:inst|imag_power[12], fft_wrapper:inst|imag_power[11], fft_wrapper:inst|imag_power[10], fft_wrapper:inst|imag_power[9], fft_wrapper:inst|imag_power[8], fft_wrapper:inst|imag_power[7], fft_wrapper:inst|imag_power[6], fft_wrapper:inst|imag_power[5], fft_wrapper:inst|imag_power[4], fft_wrapper:inst|imag_power[3], fft_wrapper:inst|imag_power[2], fft_wrapper:inst|imag_power[1], fft_wrapper:inst|imag_power[0], 
0, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
38,0,0,1,1000111,0,0,0,0,0,1,0,0,0,1,1,1,0,0,-204,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1, 
39,0,0,1,1000011,0,0,0,0,0,1,0,0,0,0,1,1,0,0,-49,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,-140,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0, 
40,0,0,1,111110,0,0,0,0,0,0,1,1,1,1,1,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,-106,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0, 
41,0,0,1,111010,0,0,0,0,0,0,1,1,1,0,1,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,139,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1, 
42,0,0,1,110110,0,0,0,0,0,0,1,1,0,1,1,0,0,0,-34,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,157,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1, 
43,0,0,1,110010,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-160,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,-60,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0, 
44,0,0,1,101110,0,0,0,0,0,0,1,0,1,1,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-149,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1, 
45,0,0,1,101011,0,0,0,0,0,0,1,0,1,0,1,1,0,0,220,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1, 
46,0,0,1,100111,0,0,0,0,0,0,1,0,0,1,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,170,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0, 
47,0,0,1,100100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-219,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0, 
48,0,0,1,100001,0,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-202,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0, 
49,0,0,1,11101,0,0,0,0,0,0,0,1,1,1,0,1,0,0,174,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,-83,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1, 
50,0,0,1,11011,0,0,0,0,0,0,0,1,1,0,1,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,165,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1, 
51,0,0,1,11000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-124,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1, 
52,0,0,1,10101,0,0,0,0,0,0,0,1,0,1,0,1,0,0,-106,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,-155,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1, 
53,0,0,1,10011,0,0,0,0,0,0,0,1,0,0,1,1,0,0,-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-96,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0, 
54,0,0,1,10000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,85,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1, 
55,0,0,1,1110,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-41,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0, 
56,0,0,1,1100,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-218,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1, 
57,0,0,1,1010,0,0,0,0,0,0,0,0,1,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,-150,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0, 
58,0,0,1,1001,0,0,0,0,0,0,0,0,1,0,0,1,0,0,223,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,-32,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0, 
59,0,0,1,111,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,223,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1, 
60,0,0,1,110,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-165,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0, 
